Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Connecticut,4/26/2021,40400,40400
Maine,4/26/2021,15400,15400
Massachusetts,4/26/2021,77700,77700
New Hampshire,4/26/2021,15500,15500
Rhode Island,4/26/2021,12100,12100
Vermont,4/26/2021,7300,7300
New Jersey,4/26/2021,98500,98500
New York,4/26/2021,125400,125400
Delaware,4/26/2021,10700,10700
District of Columbia,4/26/2021,8100,8100
Maryland,4/26/2021,66500,66500
Pennsylvania,4/26/2021,126700,126700
Philadelphia,4/26/2021,17600,17600
Virginia,4/26/2021,93300,93300
West Virginia,4/26/2021,20800,20800
Alabama,4/26/2021,53700,53700
Florida,4/26/2021,234500,234500
Georgia,4/26/2021,111100,111100
Kentucky,4/26/2021,48900,48900
Mississippi,4/26/2021,32400,32400
North Carolina,4/26/2021,112100,112100
South Carolina,4/26/2021,55000,55000
Tennessee,4/26/2021,73400,73400
Chicago,4/26/2021,29900,29900
Illinois,4/26/2021,111300,111300
Indiana,4/26/2021,72200,72200
Michigan,4/26/2021,110600,110600
Minnesota,4/26/2021,60600,60600
Ohio,4/26/2021,128600,128600
Wisconsin,4/26/2021,64400,64400
Arkansas,4/26/2021,32600,32600
Louisiana,4/26/2021,50700,50700
New Mexico,4/26/2021,23100,23100
Oklahoma,4/26/2021,42200,42200
Texas,4/26/2021,293500,293500
Iowa,4/26/2021,34300,34300
Kansas,4/26/2021,31300,31300
Missouri,4/26/2021,67100,67100
Nebraska,4/26/2021,20700,20700
Colorado,4/26/2021,60900,60900
Montana,4/26/2021,11700,11700
North Dakota,4/26/2021,8500,8500
South Dakota,4/26/2021,9300,9300
Utah,4/26/2021,30500,30500
Wyoming,4/26/2021,6400,6400
Arizona,4/26/2021,76200,76200
California,4/26/2021,428600,428600
Hawaii,4/26/2021,15900,15900
Nevada,4/26/2021,32100,32100
Palau,4/26/2021,0,0
Alaska,4/26/2021,0,0
Idaho,4/26/2021,17800,17800
Oregon,4/26/2021,46000,46000
Washington,4/26/2021,81700,81700
Federal Entities,4/26/2021,161100,161100
Connecticut,4/19/2021,40400,40400
Maine,4/19/2021,15400,15400
Massachusetts,4/19/2021,77700,77700
New Hampshire,4/19/2021,15500,15500
Rhode Island,4/19/2021,12100,12100
Vermont,4/19/2021,7300,7300
New Jersey,4/19/2021,98500,98500
New York,4/19/2021,125400,125400
New York City,4/19/2021,95200,95200
Puerto Rico,4/19/2021,38500,38500
U.S. Virgin Islands,4/19/2021,1200,1200
Delaware,4/19/2021,10700,10700
District of Columbia,4/19/2021,8100,8100
Maryland,4/19/2021,66500,66500
Pennsylvania,4/19/2021,126700,126700
Philadelphia,4/19/2021,17600,17600
Virginia,4/19/2021,93300,93300
West Virginia,4/19/2021,20800,20800
Alabama,4/19/2021,53700,53700
Florida,4/19/2021,234500,234500
Georgia,4/19/2021,111100,111100
Kentucky,4/19/2021,48900,48900
Mississippi,4/19/2021,32400,32400
North Carolina,4/19/2021,112100,112100
South Carolina,4/19/2021,55000,55000
Tennessee,4/19/2021,73400,73400
Chicago,4/19/2021,29900,29900
Illinois,4/19/2021,111300,111300
Indiana,4/19/2021,72200,72200
Michigan,4/19/2021,110600,110600
Minnesota,4/19/2021,60600,60600
Ohio,4/19/2021,128600,128600
Wisconsin,4/19/2021,64400,64400
Arkansas,4/19/2021,32600,32600
Louisiana,4/19/2021,50700,50700
New Mexico,4/19/2021,23100,23100
Oklahoma,4/19/2021,42200,42200
Texas,4/19/2021,293500,293500
Iowa,4/19/2021,34300,34300
Kansas,4/19/2021,31300,31300
Missouri,4/19/2021,67100,67100
Nebraska,4/19/2021,20700,20700
Colorado,4/19/2021,60900,60900
Montana,4/19/2021,11700,11700
North Dakota,4/19/2021,8500,8500
South Dakota,4/19/2021,9300,9300
Utah,4/19/2021,30500,30500
Wyoming,4/19/2021,6400,6400
Arizona,4/19/2021,76200,76200
California,4/19/2021,428600,428600
Hawaii,4/19/2021,15900,15900
Nevada,4/19/2021,32100,32100
American Samoa,4/19/2021,0,0
Guam,4/19/2021,0,0
Marshall Islands,4/19/2021,0,0
Micronesia,4/19/2021,0,0
Mariana Islands,4/19/2021,0,0
Palau,4/19/2021,0,0
Alaska,4/19/2021,0,0
Idaho,4/19/2021,17800,17800
Oregon,4/19/2021,46000,46000
Washington,4/19/2021,81700,81700
Federal Entities,4/19/2021,149400,149400
Connecticut,4/12/2021,37400,37400
Maine,4/12/2021,14300,14300
Massachusetts,4/12/2021,72100,72100
New Hampshire,4/12/2021,14300,14300
Rhode Island,4/12/2021,11300,11300
Vermont,4/12/2021,6700,6700
New Jersey,4/12/2021,91300,91300
New York,4/12/2021,116300,116300
New York City,4/12/2021,88300,88300
Puerto Rico,4/12/2021,35700,35700
U.S. Virgin Islands,4/12/2021,1100,1100
Delaware,4/12/2021,9900,9900
District of Columbia,4/12/2021,7500,7500
Maryland,4/12/2021,61600,61600
Pennsylvania,4/12/2021,117500,117500
Philadelphia,4/12/2021,16300,16300
Virginia,4/12/2021,86500,86500
West Virginia,4/12/2021,19300,19300
Alabama,4/12/2021,49800,49800
Florida,4/12/2021,217400,217400
Georgia,4/12/2021,103000,103000
Kentucky,4/12/2021,45300,45300
Mississippi,4/12/2021,30000,30000
North Carolina,4/12/2021,103900,103900
South Carolina,4/12/2021,51000,51000
Tennessee,4/12/2021,68100,68100
Chicago,4/12/2021,27700,27700
Illinois,4/12/2021,103100,103100
Indiana,4/12/2021,66900,66900
Michigan,4/12/2021,102600,102600
Minnesota,4/12/2021,56200,56200
Ohio,4/12/2021,119300,119300
Wisconsin,4/12/2021,59700,59700
Arkansas,4/12/2021,30200,30200
Louisiana,4/12/2021,47000,47000
New Mexico,4/12/2021,21400,21400
Oklahoma,4/12/2021,39200,39200
Texas,4/12/2021,272100,272100
Iowa,4/12/2021,31800,31800
Kansas,4/12/2021,29000,29000
Missouri,4/12/2021,62200,62200
Nebraska,4/12/2021,19200,19200
Colorado,4/12/2021,56500,56500
Montana,4/12/2021,10800,10800
North Dakota,4/12/2021,7800,7800
South Dakota,4/12/2021,8700,8700
Utah,4/12/2021,28300,28300
Wyoming,4/12/2021,5900,5900
Arizona,4/12/2021,70600,70600
California,4/12/2021,397400,397400
Hawaii,4/12/2021,14800,14800
Nevada,4/12/2021,29800,29800
American Samoa,4/12/2021,0,0
Guam,4/12/2021,0,0
Marshall Islands,4/12/2021,0,0
Micronesia,4/12/2021,0,0
Mariana Islands,4/12/2021,0,0
Palau,4/12/2021,0,0
Alaska,4/12/2021,0,0
Idaho,4/12/2021,16600,16600
Oregon,4/12/2021,42700,42700
Washington,4/12/2021,75700,75700
Federal Entities,4/12/2021,149400,149400
Connecticut,4/5/2021,37400,37400
Maine,4/5/2021,14300,14300
Massachusetts,4/5/2021,72100,72100
New Hampshire,4/5/2021,14300,14300
Rhode Island,4/5/2021,11300,11300
Vermont,4/5/2021,6700,6700
New Jersey,4/5/2021,91300,91300
New York,4/5/2021,116300,116300
New York City,4/5/2021,88300,88300
Puerto Rico,4/5/2021,35700,35700
U.S. Virgin Islands,4/5/2021,1100,1100
Delaware,4/5/2021,9900,9900
District of Columbia,4/5/2021,7500,7500
Maryland,4/5/2021,61600,61600
Pennsylvania,4/5/2021,117500,117500
Philadelphia,4/5/2021,16300,16300
Virginia,4/5/2021,86500,86500
West Virginia,4/5/2021,19300,19300
Alabama,4/5/2021,49800,49800
Florida,4/5/2021,217400,217400
Georgia,4/5/2021,103000,103000
Kentucky,4/5/2021,45300,45300
Mississippi,4/5/2021,30000,30000
North Carolina,4/5/2021,103900,103900
South Carolina,4/5/2021,51000,51000
Tennessee,4/5/2021,68100,68100
Chicago,4/5/2021,27700,27700
Illinois,4/5/2021,103100,103100
Indiana,4/5/2021,66900,66900
Michigan,4/5/2021,102600,102600
Minnesota,4/5/2021,56200,56200
Ohio,4/5/2021,119300,119300
Wisconsin,4/5/2021,59700,59700
Arkansas,4/5/2021,30200,30200
Louisiana,4/5/2021,47000,47000
New Mexico,4/5/2021,21400,21400
Oklahoma,4/5/2021,39200,39200
Texas,4/5/2021,272100,272100
Iowa,4/5/2021,31800,31800
Kansas,4/5/2021,29000,29000
Missouri,4/5/2021,62200,62200
Nebraska,4/5/2021,19200,19200
Colorado,4/5/2021,56500,56500
Montana,4/5/2021,10800,10800
North Dakota,4/5/2021,7800,7800
South Dakota,4/5/2021,8700,8700
Utah,4/5/2021,28300,28300
Wyoming,4/5/2021,5900,5900
Arizona,4/5/2021,70600,70600
California,4/5/2021,397400,397400
Hawaii,4/5/2021,14800,14800
Nevada,4/5/2021,29800,29800
American Samoa,4/5/2021,0,0
Guam,4/5/2021,0,0
Marshall Islands,4/5/2021,0,0
Micronesia,4/5/2021,0,0
Mariana Islands,4/5/2021,0,0
Palau,4/5/2021,0,0
Alaska,4/5/2021,0,0
Idaho,4/5/2021,16600,16600
Oregon,4/5/2021,42700,42700
Washington,4/5/2021,75700,75700
Federal Entities,4/5/2021,143000,143000
Connecticut,3/29/2021,35800,35800
Maine,3/29/2021,13700,13700
Massachusetts,3/29/2021,69000,69000
New Hampshire,3/29/2021,13700,13700
Rhode Island,3/29/2021,10800,10800
Vermont,3/29/2021,6500,6500
New Jersey,3/29/2021,87400,87400
New York,3/29/2021,111300,111300
New York City,3/29/2021,84500,84500
Puerto Rico,3/29/2021,34200,34200
U.S. Virgin Islands,3/29/2021,1100,1100
Delaware,3/29/2021,9500,9500
District of Columbia,3/29/2021,7200,7200
Maryland,3/29/2021,59000,59000
Pennsylvania,3/29/2021,112400,112400
Philadelphia,3/29/2021,15600,15600
Virginia,3/29/2021,82800,82800
West Virginia,3/29/2021,18500,18500
Alabama,3/29/2021,47700,47700
Florida,3/29/2021,208000,208000
Georgia,3/29/2021,98600,98600
Kentucky,3/29/2021,43400,43400
Mississippi,3/29/2021,28700,28700
North Carolina,3/29/2021,99500,99500
South Carolina,3/29/2021,48800,48800
Tennessee,3/29/2021,65200,65200
Chicago,3/29/2021,26500,26500
Illinois,3/29/2021,98700,98700
Indiana,3/29/2021,64100,64100
Michigan,3/29/2021,98200,98200
Minnesota,3/29/2021,53800,53800
Ohio,3/29/2021,114100,114100
Wisconsin,3/29/2021,57100,57100
Arkansas,3/29/2021,28900,28900
Louisiana,3/29/2021,45000,45000
New Mexico,3/29/2021,20500,20500
Oklahoma,3/29/2021,37500,37500
Texas,3/29/2021,260400,260400
Iowa,3/29/2021,30400,30400
Kansas,3/29/2021,27800,27800
Missouri,3/29/2021,59500,59500
Nebraska,3/29/2021,18400,18400
Colorado,3/29/2021,54100,54100
Montana,3/29/2021,10400,10400
North Dakota,3/29/2021,7500,7500
South Dakota,3/29/2021,8300,8300
Utah,3/29/2021,27100,27100
Wyoming,3/29/2021,5700,5700
Arizona,3/29/2021,67600,67600
California,3/29/2021,380300,380300
Hawaii,3/29/2021,14200,14200
Nevada,3/29/2021,28500,28500
American Samoa,3/29/2021,5000,0
Guam,3/29/2021,15000,0
Marshall Islands,3/29/2021,16800,0
Micronesia,3/29/2021,22600,0
Mariana Islands,3/29/2021,5000,0
Palau,3/29/2021,6200,0
Alaska,3/29/2021,52500,52500
Idaho,3/29/2021,15800,15800
Oregon,3/29/2021,40800,40800
Washington,3/29/2021,72400,72400
Federal Entities,3/29/2021,143000,143000
Connecticut,3/22/2021,35800,35800
Maine,3/22/2021,13700,13700
Massachusetts,3/22/2021,69000,69000
New Hampshire,3/22/2021,13700,13700
Rhode Island,3/22/2021,10800,10800
Vermont,3/22/2021,6500,6500
New Jersey,3/22/2021,87400,87400
New York,3/22/2021,111300,111300
New York City,3/22/2021,84500,84500
Puerto Rico,3/22/2021,34200,34200
U.S. Virgin Islands,3/22/2021,1100,1100
Delaware,3/22/2021,9500,9500
District of Columbia,3/22/2021,7200,7200
Maryland,3/22/2021,59000,59000
Pennsylvania,3/22/2021,112400,112400
Philadelphia,3/22/2021,15600,15600
Virginia,3/22/2021,82800,82800
West Virginia,3/22/2021,18500,18500
Alabama,3/22/2021,47700,47700
Florida,3/22/2021,208000,208000
Georgia,3/22/2021,98600,98600
Kentucky,3/22/2021,43400,43400
Mississippi,3/22/2021,28700,28700
North Carolina,3/22/2021,99500,99500
South Carolina,3/22/2021,48800,48800
Tennessee,3/22/2021,65200,65200
Chicago,3/22/2021,26500,26500
Illinois,3/22/2021,98700,98700
Indiana,3/22/2021,64100,64100
Michigan,3/22/2021,98200,98200
Minnesota,3/22/2021,53800,53800
Ohio,3/22/2021,114100,114100
Wisconsin,3/22/2021,57100,57100
Arkansas,3/22/2021,28900,28900
Louisiana,3/22/2021,45000,45000
New Mexico,3/22/2021,20500,20500
Oklahoma,3/22/2021,37500,37500
Texas,3/22/2021,260400,260400
Iowa,3/22/2021,30400,30400
Kansas,3/22/2021,27800,27800
Missouri,3/22/2021,59500,59500
Nebraska,3/22/2021,18400,18400
Colorado,3/22/2021,54100,54100
Montana,3/22/2021,10400,10400
North Dakota,3/22/2021,7500,7500
South Dakota,3/22/2021,8300,8300
Utah,3/22/2021,27100,27100
Wyoming,3/22/2021,5700,5700
Arizona,3/22/2021,67600,67600
California,3/22/2021,380300,380300
Hawaii,3/22/2021,14200,14200
Nevada,3/22/2021,28500,28500
American Samoa,3/22/2021,0,0
Guam,3/22/2021,0,0
Marshall Islands,3/22/2021,0,0
Micronesia,3/22/2021,0,0
Mariana Islands,3/22/2021,0,0
Palau,3/22/2021,0,0
Alaska,3/22/2021,0,0
Idaho,3/22/2021,15800,15800
Oregon,3/22/2021,40800,40800
Washington,3/22/2021,72400,72400
Federal Entities,3/22/2021,143000,143000
Connecticut,3/15/2021,35800,35800
Maine,3/15/2021,13700,13700
Massachusetts,3/15/2021,69000,69000
New Hampshire,3/15/2021,13700,13700
Rhode Island,3/15/2021,10800,10800
Vermont,3/15/2021,6500,6500
New Jersey,3/15/2021,87400,87400
New York,3/15/2021,111300,111300
New York City,3/15/2021,84500,84500
Puerto Rico,3/15/2021,34200,34200
U.S. Virgin Islands,3/15/2021,1100,1100
Delaware,3/15/2021,9500,9500
District of Columbia,3/15/2021,7200,7200
Maryland,3/15/2021,59000,59000
Pennsylvania,3/15/2021,112400,112400
Philadelphia,3/15/2021,15600,15600
Virginia,3/15/2021,82800,82800
West Virginia,3/15/2021,18500,18500
Alabama,3/15/2021,47700,47700
Florida,3/15/2021,208000,208000
Georgia,3/15/2021,98600,98600
Kentucky,3/15/2021,43400,43400
Mississippi,3/15/2021,28700,28700
North Carolina,3/15/2021,99500,99500
South Carolina,3/15/2021,48800,48800
Tennessee,3/15/2021,65200,65200
Chicago,3/15/2021,26500,26500
Illinois,3/15/2021,98700,98700
Indiana,3/15/2021,64100,64100
Michigan,3/15/2021,98200,98200
Minnesota,3/15/2021,53800,53800
Ohio,3/15/2021,114100,114100
Wisconsin,3/15/2021,57100,57100
Arkansas,3/15/2021,28900,28900
Louisiana,3/15/2021,45000,45000
New Mexico,3/15/2021,20500,20500
Oklahoma,3/15/2021,37500,37500
Texas,3/15/2021,260400,260400
Iowa,3/15/2021,30400,30400
Kansas,3/15/2021,27800,27800
Missouri,3/15/2021,59500,59500
Nebraska,3/15/2021,18400,18400
Colorado,3/15/2021,54100,54100
Montana,3/15/2021,10400,10400
North Dakota,3/15/2021,7500,7500
South Dakota,3/15/2021,8300,8300
Utah,3/15/2021,27100,27100
Wyoming,3/15/2021,5700,5700
Arizona,3/15/2021,67600,67600
California,3/15/2021,380300,380300
Hawaii,3/15/2021,14200,14200
Nevada,3/15/2021,28500,28500
American Samoa,3/15/2021,0,0
Guam,3/15/2021,0,0
Marshall Islands,3/15/2021,0,0
Micronesia,3/15/2021,0,0
Mariana Islands,3/15/2021,0,0
Palau,3/15/2021,0,0
Alaska,3/15/2021,0,0
Idaho,3/15/2021,15800,15800
Oregon,3/15/2021,40800,40800
Washington,3/15/2021,72400,72400
Federal Entities,3/15/2021,143000,143000
Connecticut,3/8/2021,35800,35800
Maine,3/8/2021,13700,13700
Massachusetts,3/8/2021,69000,69000
New Hampshire,3/8/2021,13700,13700
Rhode Island,3/8/2021,10800,10800
Vermont,3/8/2021,6500,6500
New Jersey,3/8/2021,87400,87400
New York,3/8/2021,111300,111300
New York City,3/8/2021,84500,84500
Puerto Rico,3/8/2021,34200,34200
U.S. Virgin Islands,3/8/2021,1100,1100
Delaware,3/8/2021,9500,9500
District of Columbia,3/8/2021,7200,7200
Maryland,3/8/2021,59000,59000
Pennsylvania,3/8/2021,112400,112400
Philadelphia,3/8/2021,15600,15600
Virginia,3/8/2021,82800,82800
West Virginia,3/8/2021,18500,18500
Alabama,3/8/2021,47700,47700
Florida,3/8/2021,208000,208000
Georgia,3/8/2021,98600,98600
Kentucky,3/8/2021,43400,43400
Mississippi,3/8/2021,28700,28700
North Carolina,3/8/2021,99500,99500
South Carolina,3/8/2021,48800,48800
Tennessee,3/8/2021,65200,65200
Chicago,3/8/2021,26500,26500
Illinois,3/8/2021,98700,98700
Indiana,3/8/2021,64100,64100
Michigan,3/8/2021,98200,98200
Minnesota,3/8/2021,53800,53800
Ohio,3/8/2021,114100,114100
Wisconsin,3/8/2021,57100,57100
Arkansas,3/8/2021,28900,28900
Louisiana,3/8/2021,45000,45000
New Mexico,3/8/2021,20500,20500
Oklahoma,3/8/2021,37500,37500
Texas,3/8/2021,260400,260400
Iowa,3/8/2021,30400,30400
Kansas,3/8/2021,27800,27800
Missouri,3/8/2021,59500,59500
Nebraska,3/8/2021,18400,18400
Colorado,3/8/2021,54100,54100
Montana,3/8/2021,10400,10400
North Dakota,3/8/2021,7500,7500
South Dakota,3/8/2021,8300,8300
Utah,3/8/2021,27100,27100
Wyoming,3/8/2021,5700,5700
Arizona,3/8/2021,67600,67600
California,3/8/2021,380300,380300
Hawaii,3/8/2021,14200,14200
Nevada,3/8/2021,28500,28500
American Samoa,3/8/2021,0,0
Guam,3/8/2021,0,0
Marshall Islands,3/8/2021,0,0
Micronesia,3/8/2021,0,0
Mariana Islands,3/8/2021,0,0
Palau,3/8/2021,0,0
Alaska,3/8/2021,0,0
Idaho,3/8/2021,15800,15800
Oregon,3/8/2021,40800,40800
Washington,3/8/2021,72400,72400
Federal Entities,3/8/2021,197900,193500
Alabama,3/1/2021,47700,47700
Alaska,3/1/2021,49300,49300
American Samoa,3/1/2021,4400,0
Arizona,3/1/2021,67600,67600
Arkansas,3/1/2021,28900,28900
California,3/1/2021,380300,380300
Chicago,3/1/2021,26500,26500
Colorado,3/1/2021,54100,54100
Connecticut,3/1/2021,35800,35800
Delaware,3/1/2021,9500,9500
District of Columbia,3/1/2021,7200,7200
Federal Entities,3/1/2021,180500,163500
Florida,3/1/2021,208000,208000
Georgia,3/1/2021,98600,98600
Guam,3/1/2021,14200,0
Hawaii,3/1/2021,14200,14200
Idaho,3/1/2021,15800,15800
Illinois,3/1/2021,98700,98700
Indiana,3/1/2021,64100,64100
Iowa,3/1/2021,30400,30400
Kansas,3/1/2021,27800,27800
Kentucky,3/1/2021,43400,43400
Louisiana,3/1/2021,45000,45000
Maine,3/1/2021,13700,13700
Mariana Islands,3/1/2021,4600,0
Marshall Islands,3/1/2021,14000,0
Maryland,3/1/2021,59000,59000
Massachusetts,3/1/2021,69000,69000
Michigan,3/1/2021,98200,98200
Micronesia,3/1/2021,16600,0
Minnesota,3/1/2021,53800,53800
Mississippi,3/1/2021,28700,28700
Missouri,3/1/2021,59500,59500
Montana,3/1/2021,10400,10400
Nebraska,3/1/2021,18400,18400
Nevada,3/1/2021,28500,28500
New Hampshire,3/1/2021,13700,13700
New Jersey,3/1/2021,87400,87400
New Mexico,3/1/2021,20500,20500
New York,3/1/2021,111300,111300
New York City,3/1/2021,84500,84500
North Carolina,3/1/2021,99500,99500
North Dakota,3/1/2021,7500,7500
Ohio,3/1/2021,114100,114100
Oklahoma,3/1/2021,37500,37500
Oregon,3/1/2021,40800,40800
Palau,3/1/2021,5400,0
Pennsylvania,3/1/2021,112400,112400
Philadelphia,3/1/2021,15600,15600
Puerto Rico,3/1/2021,34200,34200
Rhode Island,3/1/2021,10800,10800
South Carolina,3/1/2021,48800,48800
South Dakota,3/1/2021,8300,8300
Tennessee,3/1/2021,65200,65200
Texas,3/1/2021,260400,260400
U.S. Virgin Islands,3/1/2021,1100,1100
Utah,3/1/2021,27100,27100
Vermont,3/1/2021,6500,6500
Virginia,3/1/2021,82800,82800
Washington,3/1/2021,72400,72400
West Virginia,3/1/2021,18500,18500
Wisconsin,3/1/2021,57100,57100
Wyoming,3/1/2021,5700,5700
Alabama,2/22/2021,47700,47700
Alaska,2/22/2021,0,0
American Samoa,2/22/2021,0,0
Arizona,2/22/2021,67600,67600
Arkansas,2/22/2021,28900,28900
California,2/22/2021,380300,380300
Chicago,2/22/2021,26500,26500
Colorado,2/22/2021,54100,54100
Connecticut,2/22/2021,35800,35800
Delaware,2/22/2021,9500,9500
District of Columbia,2/22/2021,7200,7200
Federal Entities,2/22/2021,163500,163500
Florida,2/22/2021,208000,208000
Georgia,2/22/2021,98600,98600
Guam,2/22/2021,0,0
Hawaii,2/22/2021,14200,14200
Idaho,2/22/2021,15800,15800
Illinois,2/22/2021,98700,98700
Indiana,2/22/2021,64100,64100
Iowa,2/22/2021,30400,30400
Kansas,2/22/2021,27800,27800
Kentucky,2/22/2021,43400,43400
Louisiana,2/22/2021,45000,45000
Maine,2/22/2021,13700,13700
Mariana Islands,2/22/2021,0,0
Marshall Islands,2/22/2021,0,0
Maryland,2/22/2021,59000,59000
Massachusetts,2/22/2021,69000,69000
Michigan,2/22/2021,98200,98200
Micronesia,2/22/2021,0,0
Minnesota,2/22/2021,53800,53800
Mississippi,2/22/2021,28700,28700
Missouri,2/22/2021,59500,59500
Montana,2/22/2021,10400,10400
Nebraska,2/22/2021,18400,18400
