Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Nevada,2/22/2021,28500,28500
New Hampshire,2/22/2021,13700,13700
New Jersey,2/22/2021,87400,87400
New Mexico,2/22/2021,20500,20500
New York,2/22/2021,111300,111300
New York City,2/22/2021,84500,84500
North Carolina,2/22/2021,99500,99500
North Dakota,2/22/2021,7500,7500
Ohio,2/22/2021,114100,114100
Oklahoma,2/22/2021,37500,37500
Oregon,2/22/2021,40800,40800
Palau,2/22/2021,0,0
Pennsylvania,2/22/2021,112400,112400
Philadelphia,2/22/2021,15600,15600
Puerto Rico,2/22/2021,34200,34200
Rhode Island,2/22/2021,10800,10800
South Carolina,2/22/2021,48800,48800
South Dakota,2/22/2021,8300,8300
Tennessee,2/22/2021,65200,65200
Texas,2/22/2021,260400,260400
U.S. Virgin Islands,2/22/2021,1100,1100
Utah,2/22/2021,27100,27100
Vermont,2/22/2021,6500,6500
Virginia,2/22/2021,82800,82800
Washington,2/22/2021,72400,72400
West Virginia,2/22/2021,18500,18500
Wisconsin,2/22/2021,57100,57100
Wyoming,2/22/2021,5700,5700
Alabama,2/15/2021,47700,47700
Alaska,2/15/2021,0,0
American Samoa,2/15/2021,0,0
Arizona,2/15/2021,67600,67600
Arkansas,2/15/2021,28900,28900
California,2/15/2021,380300,380300
Chicago,2/15/2021,26500,26500
Colorado,2/15/2021,54100,54100
Connecticut,2/15/2021,35800,35800
Delaware,2/15/2021,9500,9500
District of Columbia,2/15/2021,7200,7200
Federal Entities,2/15/2021,163500,163500
Florida,2/15/2021,208000,208000
Georgia,2/15/2021,98600,98600
Guam,2/15/2021,0,0
Hawaii,2/15/2021,14200,14200
Idaho,2/15/2021,15800,15800
Illinois,2/15/2021,98700,98700
Indiana,2/15/2021,64100,64100
Iowa,2/15/2021,30400,30400
Kansas,2/15/2021,27800,27800
Kentucky,2/15/2021,43400,43400
Louisiana,2/15/2021,45000,45000
Maine,2/15/2021,13700,13700
Mariana Islands,2/15/2021,0,0
Marshall Islands,2/15/2021,0,0
Maryland,2/15/2021,59000,59000
Massachusetts,2/15/2021,69000,69000
Michigan,2/15/2021,98200,98200
Micronesia,2/15/2021,0,0
Minnesota,2/15/2021,53800,53800
Mississippi,2/15/2021,28700,28700
Missouri,2/15/2021,59500,59500
Montana,2/15/2021,10400,10400
Nebraska,2/15/2021,18400,18400
Nevada,2/15/2021,28500,28500
New Hampshire,2/15/2021,13700,13700
New Jersey,2/15/2021,87400,87400
New Mexico,2/15/2021,20500,20500
New York,2/15/2021,111300,111300
New York City,2/15/2021,84500,84500
North Carolina,2/15/2021,99500,99500
North Dakota,2/15/2021,7500,7500
Ohio,2/15/2021,114100,114100
Oklahoma,2/15/2021,37500,37500
Oregon,2/15/2021,40800,40800
Palau,2/15/2021,0,0
Pennsylvania,2/15/2021,112400,112400
Philadelphia,2/15/2021,15600,15600
Puerto Rico,2/15/2021,34200,34200
Rhode Island,2/15/2021,10800,10800
South Carolina,2/15/2021,48800,48800
South Dakota,2/15/2021,8300,8300
Tennessee,2/15/2021,65200,65200
Texas,2/15/2021,260400,260400
U.S. Virgin Islands,2/15/2021,1100,1100
Utah,2/15/2021,27100,27100
Vermont,2/15/2021,6500,6500
Virginia,2/15/2021,82800,82800
Washington,2/15/2021,72400,72400
West Virginia,2/15/2021,18500,18500
Wisconsin,2/15/2021,57100,57100
Wyoming,2/15/2021,5700,5700
Alabama,2/8/2021,44100,44100
Alaska,2/8/2021,0,0
American Samoa,2/8/2021,0,0
Arizona,2/8/2021,62500,62500
Arkansas,2/8/2021,26800,26800
California,2/8/2021,351900,351900
Chicago,2/8/2021,24500,24500
Colorado,2/8/2021,50000,50000
Connecticut,2/8/2021,33100,33100
Delaware,2/8/2021,8800,8800
District of Columbia,2/8/2021,6600,6600
Federal Entities,2/8/2021,481400,481400
Florida,2/8/2021,192500,192500
Georgia,2/8/2021,91300,91300
Guam,2/8/2021,0,0
Hawaii,2/8/2021,13100,13100
Idaho,2/8/2021,14700,14700
Illinois,2/8/2021,91300,91300
Indiana,2/8/2021,59300,59300
Iowa,2/8/2021,28200,28200
Kansas,2/8/2021,25700,25700
Kentucky,2/8/2021,40200,40200
Louisiana,2/8/2021,41600,41600
Maine,2/8/2021,12700,12700
Mariana Islands,2/8/2021,0,0
Marshall Islands,2/8/2021,0,0
Maryland,2/8/2021,54600,54600
Massachusetts,2/8/2021,63800,63800
Michigan,2/8/2021,90900,90900
Micronesia,2/8/2021,0,0
Minnesota,2/8/2021,49700,49700
Mississippi,2/8/2021,26600,26600
Missouri,2/8/2021,55100,55100
Montana,2/8/2021,9600,9600
Nebraska,2/8/2021,17000,17000
Nevada,2/8/2021,26400,26400
New Hampshire,2/8/2021,12700,12700
New Jersey,2/8/2021,80900,80900
New Mexico,2/8/2021,19000,19000
New York,2/8/2021,103000,103000
New York City,2/8/2021,78200,78200
North Carolina,2/8/2021,92000,92000
North Dakota,2/8/2021,6900,6900
Ohio,2/8/2021,105600,105600
Oklahoma,2/8/2021,34700,34700
Oregon,2/8/2021,37800,37800
Palau,2/8/2021,0,0
Pennsylvania,2/8/2021,104000,104000
Philadelphia,2/8/2021,14400,14400
Puerto Rico,2/8/2021,31600,31600
Rhode Island,2/8/2021,10000,10000
South Carolina,2/8/2021,45200,45200
South Dakota,2/8/2021,7700,7700
Tennessee,2/8/2021,60300,60300
Texas,2/8/2021,241000,241000
U.S. Virgin Islands,2/8/2021,1000,1000
Utah,2/8/2021,25100,25100
Vermont,2/8/2021,6000,6000
Virginia,2/8/2021,76600,76600
Washington,2/8/2021,67000,67000
West Virginia,2/8/2021,17100,17100
Wisconsin,2/8/2021,52900,52900
Wyoming,2/8/2021,5300,5300
Alabama,2/1/2021,40400,40400
Alaska,2/1/2021,32300,32300
American Samoa,2/1/2021,3200,0
Arizona,2/1/2021,57200,57200
Arkansas,2/1/2021,24500,24500
California,2/1/2021,322000,322000
Chicago,2/1/2021,22400,22400
Colorado,2/1/2021,45800,45800
Connecticut,2/1/2021,30300,30300
Delaware,2/1/2021,8000,8000
District of Columbia,2/1/2021,6100,6100
Federal Entities,2/1/2021,151180,151800
Florida,2/1/2021,176100,176100
Georgia,2/1/2021,83500,83500
Guam,2/1/2021,9200,0
Hawaii,2/1/2021,12000,12000
Idaho,2/1/2021,13400,13400
Illinois,2/1/2021,83600,83600
Indiana,2/1/2021,54300,54300
Iowa,2/1/2021,25800,25800
Kansas,2/1/2021,23500,23500
Kentucky,2/1/2021,36700,36700
Louisiana,2/1/2021,38100,38100
Maine,2/1/2021,11600,11600
Mariana Islands,2/1/2021,3200,0
Marshall Islands,2/1/2021,6600,0
Maryland,2/1/2021,49900,49900
Massachusetts,2/1/2021,58400,58400
Michigan,2/1/2021,83100,83100
Micronesia,2/1/2021,9400,0
Minnesota,2/1/2021,45500,45500
Mississippi,2/1/2021,24300,24300
Missouri,2/1/2021,50400,50400
Montana,2/1/2021,8800,8800
Nebraska,2/1/2021,15500,15500
Nevada,2/1/2021,24100,24100
New Hampshire,2/1/2021,11600,11600
New Jersey,2/1/2021,74000,74000
New Mexico,2/1/2021,17300,17300
New York,2/1/2021,94200,94200
New York City,2/1/2021,71500,71500
North Carolina,2/1/2021,84200,84200
North Dakota,2/1/2021,6400,6400
Ohio,2/1/2021,96600,96600
Oklahoma,2/1/2021,31700,31700
Oregon,2/1/2021,34600,34600
Palau,2/1/2021,2800,0
Pennsylvania,2/1/2021,95200,95200
Philadelphia,2/1/2021,13200,13200
Puerto Rico,2/1/2021,28900,28900
Rhode Island,2/1/2021,9100,9100
South Carolina,2/1/2021,41400,41400
South Dakota,2/1/2021,7000,7000
Tennessee,2/1/2021,55200,55200
Texas,2/1/2021,220500,220500
U.S. Virgin Islands,2/1/2021,900,900
Utah,2/1/2021,22900,22900
Vermont,2/1/2021,5500,5500
Virginia,2/1/2021,70100,70100
Washington,2/1/2021,61300,61300
West Virginia,2/1/2021,15600,15600
Wisconsin,2/1/2021,48300,48300
Wyoming,2/1/2021,4800,4800
Alabama,1/25/2021,30600,30600
Alaska,1/25/2021,0,0
American Samoa,1/25/2021,0,0
Arizona,1/25/2021,43400,43400
Arkansas,1/25/2021,18600,18600
California,1/25/2021,244000,244000
Chicago,1/25/2021,17000,17000
Colorado,1/25/2021,34700,34700
Connecticut,1/25/2021,23000,23000
Delaware,1/25/2021,6100,6100
District of Columbia,1/25/2021,4600,4600
Federal Entities,1/25/2021,105300,105300
Florida,1/25/2021,133500,133500
Georgia,1/25/2021,63300,63300
Guam,1/25/2021,0,0
Hawaii,1/25/2021,9100,9100
Idaho,1/25/2021,10200,10200
Illinois,1/25/2021,63300,63300
Indiana,1/25/2021,41100,41100
Iowa,1/25/2021,19500,19500
Kansas,1/25/2021,17800,17800
Kentucky,1/25/2021,27900,27900
Louisiana,1/25/2021,28900,28900
Maine,1/25/2021,8800,8800
Mariana Islands,1/25/2021,0,0
Marshall Islands,1/25/2021,0,0
Maryland,1/25/2021,37800,37800
Massachusetts,1/25/2021,44300,44300
Michigan,1/25/2021,63000,63000
Micronesia,1/25/2021,0,0
Minnesota,1/25/2021,34500,34500
Mississippi,1/25/2021,18500,18500
Missouri,1/25/2021,38200,38200
Montana,1/25/2021,6700,6700
Nebraska,1/25/2021,11800,11800
Nevada,1/25/2021,18300,18300
New Hampshire,1/25/2021,8800,8800
New Jersey,1/25/2021,56100,56100
New Mexico,1/25/2021,13200,13200
New York,1/25/2021,71400,71400
New York City,1/25/2021,54200,54200
North Carolina,1/25/2021,63800,63800
North Dakota,1/25/2021,4800,4800
Ohio,1/25/2021,73200,73200
Oklahoma,1/25/2021,24100,24100
Oregon,1/25/2021,26200,26200
Palau,1/25/2021,0,0
Pennsylvania,1/25/2021,72100,72100
Philadelphia,1/25/2021,10000,10000
Puerto Rico,1/25/2021,21900,21900
Rhode Island,1/25/2021,6900,6900
South Carolina,1/25/2021,31400,31400
South Dakota,1/25/2021,5300,5300
Tennessee,1/25/2021,41800,41800
Texas,1/25/2021,167100,167100
U.S. Virgin Islands,1/25/2021,700,700
Utah,1/25/2021,17400,17400
Vermont,1/25/2021,4200,4200
Virginia,1/25/2021,53100,53100
Washington,1/25/2021,46500,46500
West Virginia,1/25/2021,11900,11900
Wisconsin,1/25/2021,36700,36700
Wyoming,1/25/2021,3700,3700
Alabama,1/18/2021,30600,30600
Alaska,1/18/2021,0,0
American Samoa,1/18/2021,0,0
Arizona,1/18/2021,43400,43400
Arkansas,1/18/2021,18600,18600
California,1/18/2021,244000,244000
Chicago,1/18/2021,17000,17000
Colorado,1/18/2021,34700,34700
Connecticut,1/18/2021,23000,23000
Delaware,1/18/2021,6100,6100
District of Columbia,1/18/2021,4600,4600
Federal Entities,1/18/2021,105000,105000
Florida,1/18/2021,133500,133500
Georgia,1/18/2021,63300,63300
Guam,1/18/2021,0,0
Hawaii,1/18/2021,9100,9100
Idaho,1/18/2021,10200,10200
Illinois,1/18/2021,63300,63300
Indiana,1/18/2021,41100,41100
Iowa,1/18/2021,19500,19500
Kansas,1/18/2021,17800,17800
Kentucky,1/18/2021,27900,27900
Louisiana,1/18/2021,28900,28900
Maine,1/18/2021,8800,8800
Mariana Islands,1/18/2021,0,0
Marshall Islands,1/18/2021,0,0
Maryland,1/18/2021,37800,37800
Massachusetts,1/18/2021,44300,44300
Michigan,1/18/2021,63000,63000
Micronesia,1/18/2021,0,0
Minnesota,1/18/2021,34500,34500
Mississippi,1/18/2021,18500,18500
Missouri,1/18/2021,38200,38200
Montana,1/18/2021,6700,6700
Nebraska,1/18/2021,11800,11800
Nevada,1/18/2021,18300,18300
New Hampshire,1/18/2021,8800,8800
New Jersey,1/18/2021,56100,56100
New Mexico,1/18/2021,13200,13200
New York,1/18/2021,71400,71400
New York City,1/18/2021,54200,54200
North Carolina,1/18/2021,63800,63800
North Dakota,1/18/2021,4800,4800
Ohio,1/18/2021,73200,73200
Oklahoma,1/18/2021,24100,24100
Oregon,1/18/2021,26200,26200
Palau,1/18/2021,0,0
Pennsylvania,1/18/2021,72100,72100
Philadelphia,1/18/2021,10000,10000
Puerto Rico,1/18/2021,21900,21900
Rhode Island,1/18/2021,6900,6900
South Carolina,1/18/2021,31400,31400
South Dakota,1/18/2021,5300,5300
Tennessee,1/18/2021,41800,41800
Texas,1/18/2021,167100,167100
U.S. Virgin Islands,1/18/2021,700,700
Utah,1/18/2021,17400,17400
Vermont,1/18/2021,4200,4200
Virginia,1/18/2021,53100,53100
Washington,1/18/2021,46500,46500
West Virginia,1/18/2021,11900,11900
Wisconsin,1/18/2021,36700,36700
Wyoming,1/18/2021,3700,3700
Alabama,1/11/2021,29100,29100
Alaska,1/11/2021,0,0
American Samoa,1/11/2021,0,0
Arizona,1/11/2021,41300,41300
Arkansas,1/11/2021,17700,17700
California,1/11/2021,232300,232300
Chicago,1/11/2021,16200,16200
Colorado,1/11/2021,33000,33000
Connecticut,1/11/2021,21900,21900
Delaware,1/11/2021,5800,5800
District of Columbia,1/11/2021,4400,4400
Federal Entities,1/11/2021,99900,99900
Florida,1/11/2021,127100,127100
Georgia,1/11/2021,60200,60200
Guam,1/11/2021,0,0
Hawaii,1/11/2021,8700,8700
Idaho,1/11/2021,9700,9700
Illinois,1/11/2021,60300,60300
Indiana,1/11/2021,39200,39200
Iowa,1/11/2021,18600,18600
Kansas,1/11/2021,17000,17000
Kentucky,1/11/2021,26500,26500
Louisiana,1/11/2021,27500,27500
Maine,1/11/2021,8400,8400
Mariana Islands,1/11/2021,0,0
Marshall Islands,1/11/2021,0,0
Maryland,1/11/2021,36000,36000
Massachusetts,1/11/2021,42100,42100
Michigan,1/11/2021,60000,60000
Micronesia,1/11/2021,0,0
Minnesota,1/11/2021,32900,32900
Mississippi,1/11/2021,17600,17600
Missouri,1/11/2021,36400,36400
Montana,1/11/2021,6400,6400
Nebraska,1/11/2021,11200,11200
Nevada,1/11/2021,17400,17400
New Hampshire,1/11/2021,8400,8400
New Jersey,1/11/2021,53400,53400
New Mexico,1/11/2021,12500,12500
New York,1/11/2021,68000,68000
New York City,1/11/2021,51600,51600
North Carolina,1/11/2021,60800,60800
North Dakota,1/11/2021,4600,4600
Ohio,1/11/2021,69700,69700
Oklahoma,1/11/2021,22900,22900
Oregon,1/11/2021,25000,25000
Palau,1/11/2021,0,0
Pennsylvania,1/11/2021,68700,68700
Philadelphia,1/11/2021,9500,9500
Puerto Rico,1/11/2021,20900,20900
Rhode Island,1/11/2021,6600,6600
South Carolina,1/11/2021,29900,29900
South Dakota,1/11/2021,5100,5100
Tennessee,1/11/2021,39800,39800
Texas,1/11/2021,159100,159100
U.S. Virgin Islands,1/11/2021,700,700
Utah,1/11/2021,16600,16600
Vermont,1/11/2021,4000,4000
Virginia,1/11/2021,50600,50600
Washington,1/11/2021,44300,44300
West Virginia,1/11/2021,11300,11300
Wisconsin,1/11/2021,34900,34900
Wyoming,1/11/2021,3500,3500
Alabama,1/4/2021,29000,29000
Alaska,1/4/2021,25600,25600
American Samoa,1/4/2021,2400,0
Arizona,1/4/2021,41100,41100
Arkansas,1/4/2021,17600,17600
California,1/4/2021,231400,231400
Chicago,1/4/2021,16100,16100
Colorado,1/4/2021,32900,32900
Connecticut,1/4/2021,21800,21800
Delaware,1/4/2021,5800,5800
District of Columbia,1/4/2021,4400,4400
Federal Entities,1/4/2021,108400,99600
Florida,1/4/2021,126600,126600
Georgia,1/4/2021,60000,60000
Guam,1/4/2021,7200,0
Hawaii,1/4/2021,8600,8600
Idaho,1/4/2021,9700,9700
Illinois,1/4/2021,60100,60100
Indiana,1/4/2021,39000,39000
Iowa,1/4/2021,18500,18500
Kansas,1/4/2021,16900,16900
Kentucky,1/4/2021,26400,26400
Louisiana,1/4/2021,27400,27400
Maine,1/4/2021,8300,8300
Mariana Islands,1/4/2021,2400,0
Marshall Islands,1/4/2021,6400,0
Maryland,1/4/2021,35900,35900
Massachusetts,1/4/2021,42000,42000
Michigan,1/4/2021,59800,59800
Micronesia,1/4/2021,9600,0
Minnesota,1/4/2021,32700,32700
Mississippi,1/4/2021,17500,17500
Missouri,1/4/2021,36200,36200
Montana,1/4/2021,6300,6300
Nebraska,1/4/2021,11200,11200
Nevada,1/4/2021,17300,17300
New Hampshire,1/4/2021,8400,8400
New Jersey,1/4/2021,53200,53200
New Mexico,1/4/2021,12500,12500
New York,1/4/2021,67700,67700
New York City,1/4/2021,51400,51400
North Carolina,1/4/2021,60500,60500
North Dakota,1/4/2021,4600,4600
Ohio,1/4/2021,69500,69500
Oklahoma,1/4/2021,22800,22800
Oregon,1/4/2021,24800,24800
Palau,1/4/2021,3200,0
Pennsylvania,1/4/2021,68400,68400
Philadelphia,1/4/2021,9500,9500
Puerto Rico,1/4/2021,20800,20800
Rhode Island,1/4/2021,6600,6600
South Carolina,1/4/2021,29700,29700
South Dakota,1/4/2021,5100,5100
Tennessee,1/4/2021,39700,39700
Texas,1/4/2021,158500,158500
U.S. Virgin Islands,1/4/2021,700,700
Utah,1/4/2021,16500,16500
Vermont,1/4/2021,3900,3900
Virginia,1/4/2021,50400,50400
Washington,1/4/2021,44100,44100
West Virginia,1/4/2021,11200,11200
Wisconsin,1/4/2021,34700,34700
Wyoming,1/4/2021,3500,3500
Alabama,12/28/2020,29100,29100
Alaska,12/28/2020,0,0
American Samoa,12/28/2020,0,0
Arizona,12/28/2020,41300,41300
Arkansas,12/28/2020,17700,17700
California,12/28/2020,232300,232300
Chicago,12/28/2020,16200,16200
Colorado,12/28/2020,33000,33000
Connecticut,12/28/2020,21900,21900
Delaware,12/28/2020,5800,5800
District of Columbia,12/28/2020,4400,4400
Federal Entities,12/28/2020,100000,100000
Florida,12/28/2020,127100,127100
Georgia,12/28/2020,60200,60200
Guam,12/28/2020,0,0
Hawaii,12/28/2020,8700,8700
Idaho,12/28/2020,9700,9700
Illinois,12/28/2020,60300,60300
Indiana,12/28/2020,39200,39200
Iowa,12/28/2020,18600,18600
Kansas,12/28/2020,17000,17000
Kentucky,12/28/2020,26500,26500
Louisiana,12/28/2020,27500,27500
Maine,12/28/2020,8400,8400
Mariana Islands,12/28/2020,0,0
Marshall Islands,12/28/2020,0,0
Maryland,12/28/2020,36000,36000
Massachusetts,12/28/2020,42100,42100
Michigan,12/28/2020,60000,60000
Micronesia,12/28/2020,0,0
Minnesota,12/28/2020,32900,32900
Mississippi,12/28/2020,17600,17600
Missouri,12/28/2020,36400,36400
Montana,12/28/2020,6400,6400
Nebraska,12/28/2020,11200,11200
Nevada,12/28/2020,17400,17400
New Hampshire,12/28/2020,8400,8400
New Jersey,12/28/2020,53400,53400
New Mexico,12/28/2020,12500,12500
New York,12/28/2020,68000,68000
New York City,12/28/2020,51600,51600
North Carolina,12/28/2020,60800,60800
North Dakota,12/28/2020,4600,4600
Ohio,12/28/2020,69700,69700
Oklahoma,12/28/2020,22900,22900
Oregon,12/28/2020,25000,25000
Palau,12/28/2020,0,0
Pennsylvania,12/28/2020,68700,68700
Philadelphia,12/28/2020,9500,9500
Puerto Rico,12/28/2020,20900,20900
Rhode Island,12/28/2020,6600,6600
South Carolina,12/28/2020,29900,29900
South Dakota,12/28/2020,5100,5100
Tennessee,12/28/2020,39800,39800
Texas,12/28/2020,159100,159100
U.S. Virgin Islands,12/28/2020,700,700
Utah,12/28/2020,16600,16600
Vermont,12/28/2020,4000,4000
Virginia,12/28/2020,50600,50600
Washington,12/28/2020,44300,44300
West Virginia,12/28/2020,11300,11300
Wisconsin,12/28/2020,34900,34900
Wyoming,12/28/2020,3500,3500
Alabama,12/21/2020,84300,84300
Alaska,12/21/2020,26800,26800
American Samoa,12/21/2020,2400,0
Arizona,12/21/2020,119400,119400
Arkansas,12/21/2020,51100,51100
California,12/21/2020,672600,672600
Chicago,12/21/2020,46800,46800
Colorado,12/21/2020,95600,95600
Connecticut,12/21/2020,63300,63300
Delaware,12/21/2020,16700,16700
District of Columbia,12/21/2020,12600,12600
Federal Entities,12/21/2020,298200,289200
Florida,12/21/2020,367900,367900
Georgia,12/21/2020,174400,174400
Guam,12/21/2020,7600,0
Hawaii,12/21/2020,25000,25000
Idaho,12/21/2020,28000,28000
Illinois,12/21/2020,174600,174600
Indiana,12/21/2020,113300,113300
Iowa,12/21/2020,53800,53800
Kansas,12/21/2020,49100,49100
Kentucky,12/21/2020,76700,76700
Louisiana,12/21/2020,79500,79500
Maine,12/21/2020,24200,24200
Mariana Islands,12/21/2020,2600,0
Marshall Islands,12/21/2020,7200,0
Maryland,12/21/2020,104300,104300
Massachusetts,12/21/2020,121900,121900
Michigan,12/21/2020,173600,173600
Micronesia,12/21/2020,9800,0
Minnesota,12/21/2020,94900,94900
Mississippi,12/21/2020,50800,50800
Missouri,12/21/2020,105300,105300
Montana,12/21/2020,18300,18300
Nebraska,12/21/2020,32400,32400
Nevada,12/21/2020,50300,50300
New Hampshire,12/21/2020,24200,24200
New Jersey,12/21/2020,154500,154500
New Mexico,12/21/2020,36100,36100
New York,12/21/2020,196800,196800
New York City,12/21/2020,149400,149400
North Carolina,12/21/2020,175900,175900
North Dakota,12/21/2020,13200,13200
Ohio,12/21/2020,201900,201900
Oklahoma,12/21/2020,66200,66200
Oregon,12/21/2020,72100,72100
Palau,12/21/2020,2800,0
Pennsylvania,12/21/2020,198800,198800
Philadelphia,12/21/2020,27600,27600
Puerto Rico,12/21/2020,60400,60400
Rhode Island,12/21/2020,19000,19000
South Carolina,12/21/2020,86400,86400
South Dakota,12/21/2020,14600,14600
Tennessee,12/21/2020,115200,115200
Texas,12/21/2020,460500,460500
U.S. Virgin Islands,12/21/2020,1900,1900
Utah,12/21/2020,47800,47800
Vermont,12/21/2020,11400,11400
Virginia,12/21/2020,146400,146400
Washington,12/21/2020,128000,128000
West Virginia,12/21/2020,32600,32600
Wisconsin,12/21/2020,101000,101000
Wyoming,12/21/2020,10000,10000
