State,Country,Confirmed,Deaths,Recovered,Latitude,Longitude,Continent
,Afghanistan,22,0,1,33.9391,67.71,Asia
,Albania,55,1,0,41.1533,20.1683,Europe
,Algeria,60,4,12,28.0339,1.6596,Africa
,Andorra,39,0,1,42.5063,1.5218,Europe
,Antigua and Barbuda,1,0,0,17.0608,-61.7964,North America
,Argentina,68,2,3,-38.4161,-63.6167,South America
,Armenia,78,0,1,40.0691,45.0382,Asia
,Aruba,3,0,0,12.5211,-69.9683,North America
New South Wales,Australia,210,4,4,-33.8688,151.2093,Oceania
Victoria,Australia,94,0,8,-37.8136,144.9631,Oceania
Queensland,Australia,78,0,8,-28.0167,153.4,Oceania
Western Australia,Australia,31,1,0,-31.9505,115.8605,Oceania
South Australia,Australia,29,0,3,-34.9285,138.6007,Oceania
Tasmania,Australia,7,0,0,-41.4545,145.9707,Oceania
Australian Capital Territory,Australia,2,0,0,-35.4735,149.0124,Oceania
Northern Territory,Australia,1,0,0,-12.4634,130.8456,Oceania
From Diamond Princess,Australia,0,0,0,35.4437,139.638,Oceania
,Austria,1332,3,1,47.5162,14.5501,Europe
,Azerbaijan,28,1,6,40.1431,47.5769,Asia
,Bahrain,228,1,81,26.0667,50.5577,Asia
,Bangladesh,10,0,3,23.685,90.3563,Asia
,Barbados,2,0,0,13.1939,-59.5432,North America
,Belarus,36,0,3,53.7098,27.9534,Europe
,Belgium,1243,10,1,50.5039,4.4699,Europe
,Benin,1,0,0,9.3077,2.3158,Africa
,Bhutan,1,0,0,27.5142,90.4336,Asia
,Bolivia,11,0,0,-16.2902,-63.5887,South America
,Bosnia and Herzegovina,26,0,2,43.9159,17.6791,Europe
,Brazil,321,1,2,-14.235,-51.9253,South America
,Brunei,56,0,0,4.5353,114.7277,Asia
,Bulgaria,67,2,0,42.7339,25.4858,Europe
,Burkina Faso,15,0,0,12.2383,-1.5616,Africa
,Cambodia,33,0,1,12.5657,104.991,Asia
,Cameroon,10,0,0,3.848,11.5021,Africa
Ontario,Canada,185,1,5,51.2538,-85.3232,North America
British Columbia,Canada,103,4,4,53.7267,-127.6476,North America
Alberta,Canada,74,0,0,53.9333,-116.5765,North America
Quebec,Canada,74,0,0,52.9399,-73.5491,North America
Grand Princess,Canada,8,0,0,37.6489,-122.6655,North America
Manitoba,Canada,8,0,0,53.7609,-98.8139,North America
New Brunswick,Canada,8,0,0,46.5653,-66.4619,North America
Nova Scotia,Canada,7,0,0,44.682,-63.7443,North America
Saskatchewan,Canada,7,0,0,52.9399,-106.4509,North America
Newfoundland and Labrador,Canada,3,0,0,53.1355,-57.6604,North America
Prince Edward Island,Canada,1,0,0,46.5107,-63.4168,North America
,Central African Republic,1,0,0,6.6111,20.9394,Africa
,Chile,201,0,0,-35.6751,-71.543,South America
Hubei,China,67799,3111,56003,30.9756,112.2707,Asia
Guangdong,China,1364,8,1307,23.3417,113.4244,Asia
Henan,China,1273,22,1250,33.882,113.614,Asia
Zhejiang,China,1232,1,1216,29.1832,120.0934,Asia
Hunan,China,1018,4,1014,27.6104,111.7088,Asia
Anhui,China,990,6,984,31.8257,117.2264,Asia
Jiangxi,China,935,1,934,27.614,115.7221,Asia
Shandong,China,761,7,746,36.3427,118.1498,Asia
Jiangsu,China,631,0,631,32.9711,119.455,Asia
Chongqing,China,576,6,570,30.0572,107.874,Asia
Sichuan,China,540,3,520,30.6171,102.7103,Asia
Heilongjiang,China,482,13,456,47.862,127.7615,Asia
Beijing,China,456,8,369,40.1824,116.4142,Asia
Shanghai,China,358,3,325,31.202,121.4491,Asia
Hebei,China,318,6,310,38.0428,114.5149,Asia
Fujian,China,296,1,295,26.0789,117.9874,Asia
Guangxi,China,253,2,248,23.8298,108.7881,Asia
Shaanxi,China,246,3,236,35.1917,108.8701,Asia
Yunnan,China,176,2,172,24.974,101.487,Asia
Hainan,China,168,6,161,19.1959,109.7453,Asia
Hong Kong,China,162,4,88,22.3,114.2,Asia
Guizhou,China,147,2,144,26.8154,106.8748,Asia
Tianjin,China,136,3,133,39.3054,117.323,Asia
Gansu,China,133,2,91,36.0611,103.8343,Asia
Shanxi,China,133,0,133,37.5777,112.2922,Asia
Liaoning,China,125,1,120,41.2956,122.6085,Asia
Jilin,China,93,1,92,43.6661,126.1923,Asia
Xinjiang,China,76,3,73,41.1129,85.2401,Asia
Inner Mongolia,China,75,1,73,44.0935,113.9448,Asia
Ningxia,China,75,0,75,37.2692,106.1655,Asia
Qinghai,China,18,0,18,35.7452,95.9956,Asia
Macau,China,12,0,10,22.1667,113.55,Asia
Tibet,China,1,0,1,31.6927,88.0924,Asia
,Colombia,65,0,1,4.5709,-74.2973,South America
Brazzaville,Congo,1,0,0,-0.228,15.8277,Africa
Kinshasa,Congo,3,0,0,-4.0383,21.7587,Africa
,Costa Rica,41,0,0,9.7489,-83.7534,North America
,Cote d'Ivoire,5,0,1,7.54,-5.5471,Africa
,Croatia,65,0,4,45.1,15.2,Europe
Diamond Princess,Cruise Ship,696,7,325,35.4498,139.6649,Other
,Cuba,5,0,0,21.5218,-77.7812,North America
,Cyprus,46,0,0,35.1264,33.4299,Asia
,Czechia,396,0,3,49.8175,15.473,Europe
Denmark,Denmark,977,4,1,56.2639,9.5018,Europe
Faroe Islands,Denmark,47,0,0,61.8926,-6.9118,Europe
,Dominican Republic,21,1,0,18.7357,-70.1627,North America
,Ecuador,58,2,0,-1.8312,-78.1834,South America
,Egypt,196,4,32,26.8206,30.8025,Africa
,Equatorial Guinea,1,0,0,1.5,10,Africa
,Estonia,225,0,1,58.5953,25.0136,Europe
,Eswatini,1,0,0,-26.5225,31.4659,Africa
,Ethiopia,5,0,0,9.145,40.4897,Africa
,Finland,321,0,10,61.9241,25.7482,Europe
France,France,7652,148,12,46.2276,2.2137,Europe
Reunion,France,9,0,0,-21.1351,55.2471,Europe
French Guiana,France,7,0,0,4,-53,Europe
Guadeloupe,France,6,0,0,16.25,-61.5833,Europe
French Polynesia,France,3,0,0,-17.6797,-149.4068,Europe
Saint Barthelemy,France,3,0,0,17.9,-62.8333,Europe
St Martin,France,2,0,0,18.0708,-63.0501,Europe
Mayotte,France,1,0,0,-12.8431,45.1383,Europe
,French Guiana,11,0,0,3.9339,-53.1258,South America
,Gabon,1,0,0,-0.8037,11.6094,Africa
,Georgia,34,0,1,42.3154,43.3569,Asia
,Germany,9257,24,67,51.1657,10.4515,Europe
,Ghana,7,0,0,7.9465,-1.0232,Africa
,Greece,387,5,8,39.0742,21.8243,Europe
,Greenland,1,0,0,71.7069,-42.6043,North America
,Guadeloupe,18,0,0,16.265,-61.551,North America
,Guam,3,0,0,13.4443,144.7937,Oceania
,Guatemala,6,1,0,15.7835,-90.2308,North America
,Guernsey,0,0,0,49.45,-2.58,Europe
,Guinea,1,0,0,9.9456,-9.6966,Africa
,Guyana,7,1,0,4.8604,-58.9302,South America
,Holy See,1,0,0,41.9029,12.4534,Europe
,Honduras,8,0,0,15.2,-86.2419,North America
,Hungary,50,1,2,47.1625,19.5033,Europe
,Iceland,220,1,0,64.9631,-19.0208,Europe
,India,142,3,14,20.5937,78.9629,Asia
,Indonesia,172,5,8,-0.7893,113.9213,Asia
,Iran,16169,988,5389,32.4279,53.688,Asia
,Iraq,154,11,32,33.2232,43.6793,Asia
,Ireland,223,2,5,53.1424,-7.6921,Europe
,Israel,337,0,11,31.0461,34.8516,Asia
,Italy,31506,2503,2941,41.8719,12.5674,Europe
,Jamaica,12,0,2,18.1096,-77.2975,North America
,Japan,878,29,144,36.2048,138.2529,Asia
,Jersey,0,0,0,49.19,-2.11,Europe
,Jordan,34,0,1,30.5852,36.2384,Asia
,Kazakhstan,33,0,0,48.0196,66.9237,Asia
,Kenya,3,0,0,-0.0236,37.9062,Africa
,South Korea,8320,81,1407,35.9078,127.7669,Asia
,Kosovo,2,0,0,42.6026,20.903,Europe
,Kuwait,130,0,9,29.3117,47.4818,Asia
,Latvia,49,0,1,56.8796,24.6032,Europe
,Lebanon,120,3,3,33.8547,35.8623,Asia
,Liberia,1,0,0,6.4281,-9.4295,Africa
,Liechtenstein,7,0,0,47.166,9.5554,Europe
,Lithuania,25,0,1,55.1694,23.8813,Europe
,Luxembourg,140,1,0,49.8153,6.1296,Europe
,Malaysia,673,2,49,4.2105,101.9758,Asia
,Maldives,13,0,0,3.2028,73.2207,Asia
,Malta,38,0,2,35.9375,14.3754,Europe
,Martinique,16,1,0,14.6415,-61.0242,North America
,Mauritania,1,0,0,21.0079,-10.9408,Africa
,Mayotte,1,0,0,-12.8275,45.1662,Africa
,Mexico,82,0,4,23.6345,-102.5528,North America
,Moldova,30,0,1,47.4116,28.3699,0
,Monaco,7,0,0,43.7384,7.4246,Europe
,Mongolia,5,0,0,46.8625,103.8467,Asia
,Montenegro,2,0,0,42.5,19.3,Europe
,Morocco,38,2,1,31.7917,-7.0926,Africa
,Namibia,2,0,0,-22.9576,18.4904,Africa
,Nepal,1,0,1,28.3949,84.124,Asia
Netherlands,Netherlands,1705,43,2,52.1326,5.2913,Europe
Curacao,Netherlands,3,0,0,12.1696,-68.99,Europe
,New Zealand,12,0,0,-40.9006,174.886,Oceania
,Nigeria,3,0,0,9.082,8.6753,Africa
,North Macedonia,26,0,1,41.6086,21.7453,Europe
,Norway,1463,3,1,60.472,8.4689,Europe
,Palestinian,0,0,0,31.9522,35.2332,Asia
,Oman,24,0,9,21.4735,55.9754,Asia
,Pakistan,236,0,2,30.3753,69.3451,Asia
,Panama,69,1,0,8.538,-80.7821,North America
,Paraguay,9,0,0,-23.4425,-58.4438,South America
,Peru,117,0,1,-9.19,-75.0152,South America
,Philippines,187,12,5,12.8797,121.774,Asia
,Poland,238,5,13,51.9194,19.1451,Europe
,Portugal,448,1,3,39.3999,-8.2245,Europe
,Puerto Rico,0,0,0,18.2,-66.5,North America
,Qatar,439,0,4,25.3548,51.1839,Asia
,Congo,0,0,0,-1.44,15.556,Africa
,Reunion,9,0,0,-21.1151,55.5364,Africa
,Romania,184,0,16,45.9432,24.9668,Europe
,Russia,114,0,8,61.524,105.3188,Europe
,Rwanda,7,0,0,-1.9403,29.8739,Africa
,Saint Lucia,2,0,0,13.9094,-60.9789,North America
,Saint Vincent and the Grenadines,1,0,0,12.9843,-61.2872,North America
,San Marino,109,7,4,43.9424,12.4578,Europe
,Saudi Arabia,171,0,6,23.8859,45.0792,Asia
,Senegal,26,0,2,14.4974,-14.4524,Africa
,Serbia,65,0,1,44.0165,21.0059,Europe
,Seychelles,4,0,0,-4.6796,55.492,Africa
,Singapore,266,0,114,1.3521,103.8198,Asia
,Slovakia,72,0,0,48.669,19.699,Europe
,Slovenia,275,1,0,46.1512,14.9955,Europe
,Somalia,1,0,0,5.1521,46.1996,Africa
,South Africa,62,0,0,-30.5595,22.9375,Africa
,Spain,11748,533,1028,40.4637,-3.7492,Europe
,Sri Lanka,44,0,1,7.8731,80.7718,Asia
,Sudan,1,1,0,12.8628,30.2176,Africa
,Suriname,1,0,0,3.9193,-56.0278,South America
,Sweden,1190,7,1,60.1282,18.6435,Europe
,Switzerland,2700,27,4,46.8182,8.2275,Europe
,Taiwan,77,1,22,23.7,121,Asia
,Tanzania,1,0,0,-6.369,34.8888,Africa
,Thailand,177,1,41,15.87,100.9925,Asia
,Bahamas,1,0,0,24.25,-76,North America
,Gambia,1,0,0,13.4667,-16.6,Africa
,Togo,1,0,0,8.6195,0.8248,Africa
,Trinidad and Tobago,5,0,0,10.6918,-61.2225,North America
,Tunisia,24,0,0,33.8869,9.5375,Africa
,Turkey,47,1,0,38.9637,35.2433,Asia
,Ukraine,14,2,0,48.3794,31.1656,Europe
,United Arab Emirates,98,0,23,23.4241,53.8478,Asia
United Kingdom,United Kingdom,1950,55,52,55.3781,-3.436,Europe
Channel Islands,United Kingdom,6,0,0,49.3723,-2.3644,Europe
Gibraltar,United Kingdom,3,0,1,36.1408,-5.3536,Europe
Cayman Islands,United Kingdom,1,1,0,19.3133,-81.2546,Europe
,Uruguay,29,0,0,-32.5228,-55.7658,South America
NY,US,1706,13,0,42.1657,-74.9481,North America
WA,US,1076,55,1,47.4009,-121.4905,North America
CA,US,698,12,6,36.1162,-119.6816,North America
NJ,US,267,3,1,40.2989,-74.521,North America
MD,US,218,0,1,42.2302,-71.5301,North America
FL,US,216,6,0,27.7663,-81.6868,North America
LA,US,196,4,0,31.1695,-91.8678,North America
IL,US,161,1,2,40.3495,-88.9861,North America
CO,US,160,2,0,39.0598,-105.3111,North America
GA,US,146,1,0,33.0406,-83.6431,North America
OR,US,112,0,0,40.5908,-77.2098,North America
TX,US,110,1,0,31.0545,-97.5635,North America
TN,US,74,0,0,35.7478,-86.6923,North America
WI,US,72,0,1,44.2685,-89.6165,North America
CT,US,68,0,0,41.5978,-72.7554,North America
OH,US,67,0,0,40.3888,-82.7649,North America
VT,US,67,2,0,37.7693,-78.17,North America
OR,US,66,1,0,44.572,-122.0709,North America
MI,US,65,0,0,43.3266,-84.5361,North America
NC,US,64,0,0,35.6301,-79.8064,North America
MD,US,60,0,3,39.0639,-76.8021,North America
MN,US,60,0,0,45.6945,-93.9002,North America
NV,US,56,1,0,38.3135,-117.0554,North America
UT,US,51,0,0,40.15,-111.8624,North America
DE,US,47,0,0,35.4437,139.638,North America
SC,US,47,1,0,33.8569,-80.945,North America
AL,US,39,0,0,32.3182,-86.9023,North America
ME,US,32,0,0,44.6939,-69.3819,North America
IN,US,30,2,0,39.8494,-86.2583,North America
KS,US,26,1,1,37.6681,-84.6701,North America
NH,US,26,0,0,43.4525,-71.5639,North America
IA,US,23,0,0,42.0115,-93.2105,North America
NM,US,23,0,0,34.8405,-106.2485,North America
PA,US,23,0,0,41.6809,-71.5118,North America
AR,US,22,0,0,34.9697,-92.3731,North America
DE,US,22,0,0,38.8974,-77.0268,North America
GA,US,21,0,0,37.6489,-122.6655,North America
MS,US,21,0,0,32.7416,-89.6787,North America
NE,US,21,0,0,41.1254,-98.2681,North America
AZ,US,20,0,1,33.7298,-111.4312,North America
OK,US,19,0,0,35.5653,-96.9289,North America
KS,US,18,1,0,38.5266,-96.7265,North America
DE,US,16,0,0,39.3185,-75.5071,North America
VT,US,12,0,0,44.0459,-72.7107,North America
MO,US,11,0,0,38.4561,-92.2884,North America
SD,US,11,1,0,44.2998,-99.4388,North America
WY,US,11,0,0,42.756,-107.3025,North America
HI,US,10,0,0,21.0943,-157.4983,North America
MT,US,9,0,0,46.9219,-110.4544,North America
ID,US,8,0,0,44.2405,-114.4788,North America
PA,US,5,0,0,18.2208,-66.5901,North America
AK,US,3,0,0,61.3707,-152.4044,North America
GA,US,3,0,0,13.4443,144.7937,North America
ND,US,3,0,0,47.5289,-99.784,North America
VT,US,2,0,0,18.3358,-64.8963,North America
WV,US,1,0,0,38.4912,-80.9545,North America
,Uzbekistan,10,0,0,41.3775,64.5853,Asia
,Venezuela,33,0,0,6.4238,-66.5897,South America
,Vietnam,66,0,16,14.0583,108.2772,Asia
