Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,146054107,1870.974822071586,5681853,72.78538155528824,830806,3092410,39.614231796456046,87736,1.123911202231875,12940,
United States of America,Americas,31656636,9563.86,406001,122.66,63216,565809,170.94,4951,1.5,868,Community transmission
India,South-East Asia,16960172,1228.99,2172063,157.4,349691,192311,13.94,15161,1.1,2767,Clusters of cases
Brazil,Americas,14237078,6697.93,404623,190.36,69105,386416,181.79,17667,8.31,2914,Community transmission
France,Europe,5390187,8287.58,211674,325.46,32500,102031,156.88,2110,3.24,187,Community transmission
Russian Federation,Europe,4762569,3263.5,60468,41.44,8780,108232,74.16,2650,1.82,332,Clusters of cases
Turkey,Europe,4591416,5444,378771,449.11,40596,38011,45.07,2403,2.85,339,Community transmission
The United Kingdom,Europe,4403174,6486.13,17232,25.38,2061,127417,187.69,157,0.23,32,Community transmission
Italy,Europe,3949517,6622.1,92074,154.38,13814,119021,199.56,2345,3.93,322,Clusters of cases
Spain,Europe,3456886,7303.39,32476,68.61,0,77496,163.73,214,0.45,0,Community transmission
Germany,Europe,3287418,3952.81,145156,174.54,18773,81564,98.07,1650,1.98,120,Community transmission
Argentina,Americas,2824652,6249.81,166024,367.34,27884,61176,135.36,2092,4.63,556,Community transmission
Poland,Europe,2758856,7268.15,70831,186.6,7224,65415,172.33,3383,8.91,193,Community transmission
Colombia,Americas,2740544,5385.98,121122,238.04,19925,70446,138.45,2882,5.66,420,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2377039,2830.05,161594,192.39,18230,69120,82.29,2793,3.33,374,Community transmission
Mexico,Americas,2323430,1802.05,23491,18.22,3911,214504,166.37,2811,2.18,409,Community transmission
Ukraine,Europe,2025271,4630.91,78761,180.09,7930,42323,96.77,2537,5.8,231,Community transmission
Peru,Americas,1745655,5294.38,56604,171.67,11049,59012,178.98,2558,7.76,408,Community transmission
Indonesia,South-East Asia,1636792,598.41,37029,13.54,4544,44500,16.27,1172,0.43,154,Community transmission
Czechia,Europe,1618076,15130.78,17729,165.79,8,28946,270.68,520,4.86,26,Community transmission
South Africa,Africa,1574370,2654.54,8690,14.65,1385,54125,91.26,414,0.7,59,Community transmission
Netherlands,Europe,1453124,8347.65,58037,333.4,8123,17038,97.88,135,0.78,22,Community transmission
Canada,Americas,1164581,3085.62,58519,155.05,8747,23883,63.28,342,0.91,61,Community transmission
Chile,Americas,1162811,6082.86,45463,237.82,6909,25742,134.66,687,3.59,101,Community transmission
Romania,Europe,1044722,5404.99,17683,91.49,2201,27267,141.07,1195,6.18,154,Community transmission
Iraq,Eastern Mediterranean,1025288,2549.04,54301,135,6967,15217,37.83,269,0.67,43,Community transmission
Philippines,Western Pacific,989380,902.87,63345,57.81,9661,16674,15.22,864,0.79,145,Community transmission
Belgium,Europe,972041,8436.07,20710,179.74,0,23990,208.2,239,2.07,0,Community transmission
Sweden,Europe,938343,9085.79,31748,307.41,0,13923,134.81,31,0.3,0,Community transmission
Israel,Europe,837974,9681.36,1077,12.44,82,6350,73.36,20,0.23,4,Community transmission
Portugal,Europe,833964,8099.96,3404,33.06,567,16959,164.72,17,0.17,2,Clusters of cases
Pakistan,Eastern Mediterranean,790016,357.65,39858,18.04,5908,16999,7.7,905,0.41,157,Community transmission
Hungary,Europe,769518,7876.72,19010,194.58,2328,26625,272.53,1441,14.75,205,Community transmission
Bangladesh,South-East Asia,742400,450.79,27148,16.48,2697,10952,6.65,669,0.41,83,Community transmission
Jordan,Eastern Mediterranean,700423,6864.78,16957,166.19,1259,8563,83.93,385,3.77,49,Community transmission
Serbia,Europe,677972,9787.8,17673,255.14,2068,6196,89.45,242,3.49,32,Community transmission
Switzerland,Europe,643562,7436.05,9750,112.66,0,9899,114.38,28,0.32,0,Community transmission
Austria,Europe,603419,6779.18,15318,172.09,2231,9821,110.34,205,2.3,15,Community transmission
Japan,Western Pacific,562141,444.46,32312,25.55,5142,9913,7.84,291,0.23,59,Clusters of cases
Lebanon,Eastern Mediterranean,519615,7612.91,11112,162.8,1511,7116,104.26,230,3.37,26,Community transmission
Morocco,Eastern Mediterranean,509037,1379.11,3590,9.73,507,8988,24.35,44,0.12,5,Community transmission
United Arab Emirates,Eastern Mediterranean,508925,5145.65,13701,138.53,2080,1569,15.86,19,0.19,2,Clusters of cases
Saudi Arabia,Eastern Mediterranean,411263,1181.32,7209,20.71,1072,6887,19.78,77,0.22,9,Community transmission
Bulgaria,Europe,397100,5712.45,11137,160.21,798,15859,228.14,721,10.37,33,Clusters of cases
Malaysia,Western Pacific,390252,1205.75,17393,53.74,2717,1426,4.41,56,0.17,11,Community transmission
Slovakia,Europe,379911,6960.79,3937,72.13,435,11495,210.61,389,7.13,37,Clusters of cases
Ecuador,Americas,372754,2112.75,14597,82.74,1448,18158,102.92,517,2.93,96,Community transmission
Panama,Americas,362358,8398.09,2109,48.88,366,6200,143.69,15,0.35,2,Community transmission
Kazakhstan,Europe,352988,1879.92,11389,60.65,0,4157,22.14,0,0,0,Clusters of cases
Belarus,Europe,350221,3706.31,7298,77.23,0,2473,26.17,60,0.63,0,Community transmission
Greece,Europe,331730,3094.91,18286,170.6,2596,9950,92.83,553,5.16,86,Community transmission
Croatia,Europe,323901,7981.46,16111,397,2529,6861,169.07,299,7.37,46,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,319100,6255.13,10521,206.24,1139,3419,67.02,168,3.29,13,Community transmission
Azerbaijan,Europe,311465,3071.9,12943,127.65,1676,4342,42.82,235,2.32,35,Clusters of cases
Georgia,Europe,303751,7614.38,8393,210.39,966,4025,100.9,86,2.16,18,Community transmission
Tunisia,Eastern Mediterranean,298572,2526.29,14596,123.5,2229,10231,86.57,514,4.35,61,Community transmission
Nepal,South-East Asia,297087,1019.63,13429,46.09,2486,3136,10.76,61,0.21,14,Clusters of cases
Bolivia (Plurinational State of),Americas,295892,2534.84,8532,73.09,1501,12783,109.51,158,1.35,25,Community transmission
Kuwait,Eastern Mediterranean,265404,6214.72,9544,223.48,1206,1511,35.38,71,1.66,9,Community transmission
Dominican Republic,Americas,263470,2428.76,2843,26.21,0,3448,31.78,34,0.31,0,Community transmission
Paraguay,Americas,263134,3689.21,16328,228.92,2752,5715,80.13,538,7.54,82,Community transmission
Ethiopia,Africa,250955,218.29,10719,9.32,1663,3531,3.07,203,0.18,20,Community transmission
Republic of Moldova,Europe,248898,6170.06,3404,84.38,380,5709,141.52,161,3.99,18,Community transmission
Denmark,Europe,247010,4242.14,5279,90.66,547,2474,42.49,22,0.38,2,Community transmission
Ireland,Europe,246204,4959.35,2966,59.74,461,4872,98.14,37,0.75,5,Community transmission
Lithuania,Europe,241297,8635.98,7666,274.36,775,3848,137.72,88,3.15,7,Community transmission
Costa Rica,Americas,236930,4651.05,8353,163.97,1656,3136,61.56,65,1.28,11,Community transmission
Slovenia,Europe,236613,11289.54,4944,235.89,831,4517,215.52,33,1.57,3,Clusters of cases
Egypt,Eastern Mediterranean,221570,216.52,6086,5.95,912,12998,12.7,304,0.3,39,Community transmission
Guatemala,Americas,221307,1235.28,9000,50.24,1518,7395,41.28,205,1.14,21,Community transmission
Armenia,Europe,213288,7197.81,4768,160.91,410,4018,135.6,140,4.72,17,Community transmission
Honduras,Americas,205696,2076.77,6014,60.72,868,5095,51.44,161,1.63,48,Community transmission
Qatar,Eastern Mediterranean,201496,6993.83,5739,199.2,718,418,14.51,42,1.46,5,Community transmission
Bosnia and Herzegovina,Europe,194733,5935.51,4437,135.24,0,8203,250.03,366,11.16,0,Community transmission
Venezuela (Bolivarian Republic of),Americas,189381,665.99,8772,30.85,1318,2009,7.07,139,0.49,22,Community transmission
Oman,Eastern Mediterranean,185278,3628.19,8610,168.6,0,1942,38.03,121,2.37,0,Community transmission
Uruguay,Americas,179537,5168.42,19968,574.83,3646,2227,64.11,439,12.64,67,Community transmission
Libya,Eastern Mediterranean,174752,2543.22,3621,52.7,0,2947,42.89,65,0.95,0,Community transmission
Bahrain,Eastern Mediterranean,170335,10010.43,7222,424.43,1081,620,36.44,32,1.88,3,Community transmission
Nigeria,Africa,164684,79.89,537,0.26,51,2061,1,0,0,0,Community transmission
Kenya,Africa,156318,290.71,5031,9.36,1153,2603,4.84,140,0.26,20,Community transmission
North Macedonia,Europe,150274,7212.99,3541,169.96,564,4650,223.2,231,11.09,22,Community transmission
Myanmar,South-East Asia,142704,262.28,76,0.14,17,3206,5.89,0,0,0,Clusters of cases
Albania,Europe,130409,4531.55,953,33.12,139,2372,82.42,32,1.11,5,Clusters of cases
Puerto Rico,Americas,127450,4454.97,6879,240.45,1066,2263,79.1,69,2.41,17,Community transmission
Algeria,Africa,120736,275.33,1250,2.85,174,3198,7.29,46,0.1,8,Community transmission
Estonia,Europe,120000,9029.51,2446,184.05,0,1137,85.55,45,3.39,0,Clusters of cases
Republic of Korea,Western Pacific,118887,231.89,4773,9.31,644,1813,3.54,16,0.03,1,Clusters of cases
Latvia,Europe,114955,6025.92,3958,207.48,711,2101,110.13,53,2.78,7,Community transmission
Norway,Europe,109581,2041.53,3358,62.56,0,736,13.71,28,0.52,0,Community transmission
Kosovo[1],Europe,103772,5779.03,2662,148.25,335,2108,117.39,57,3.17,0,Community transmission
China,Western Pacific,103464,7.03,191,0.01,23,4856,0.33,0,0,0,Clusters of cases
Sri Lanka,South-East Asia,100586,469.74,4147,19.37,895,638,2.98,21,0.1,4,Clusters of cases
Cuba,Americas,100318,885.68,7844,69.25,1110,581,5.13,69,0.61,12,Community transmission
Montenegro,Europe,96342,15339.57,649,103.33,0,1451,231.03,22,3.5,0,Clusters of cases
Kyrgyzstan,Europe,93831,1438.2,1948,29.86,228,1582,24.25,33,0.51,4,Clusters of cases
Ghana,Africa,91928,295.85,265,0.85,0,777,2.5,6,0.02,0,Community transmission
Zambia,Africa,91317,496.72,473,2.57,66,1245,6.77,11,0.06,0,Community transmission
Uzbekistan,Europe,89027,266,2347,7.01,348,643,1.92,6,0.02,1,Clusters of cases
Finland,Europe,85344,1544.61,1711,30.97,0,903,16.34,16,0.29,0,Community transmission
Mozambique,Africa,69643,222.82,509,1.63,46,807,2.58,9,0.03,1,Community transmission
El Salvador,Americas,68318,1053.28,914,14.09,0,2098,32.35,26,0.4,5,Community transmission
Luxembourg,Europe,66202,10573.58,1456,232.55,195,790,126.18,5,0.8,0,Community transmission
Cameroon,Africa,65998,248.62,4267,16.07,0,991,3.73,72,0.27,0,Community transmission
Cyprus,Europe,61576,6934.2,6169,694.7,895,298,33.56,10,1.13,1,Clusters of cases
Singapore,Western Pacific,60966,1042.09,158,2.7,23,30,0.51,0,0,0,Sporadic cases
Afghanistan,Eastern Mediterranean,58843,151.16,1050,2.7,113,2582,6.63,43,0.11,10,Community transmission
Thailand,South-East Asia,55460,79.46,13108,18.78,5277,140,0.2,39,0.06,19,Clusters of cases
Namibia,Africa,47671,1876.14,1156,45.5,288,624,24.56,22,0.87,2,Community transmission
Botswana,Africa,45855,1949.93,1780,75.69,0,691,29.38,20,0.85,0,Community transmission
Côte d’Ivoire,Africa,45820,173.7,301,1.14,55,281,1.07,7,0.03,2,Community transmission
Jamaica,Americas,44867,1515.18,1183,39.95,225,756,25.53,35,1.18,4,Community transmission
Uganda,Africa,41575,90.89,235,0.51,0,341,0.75,3,0.01,0,Community transmission
Senegal,Africa,40082,239.38,351,2.1,60,1099,6.56,9,0.05,2,Community transmission
Zimbabwe,Africa,38064,256.1,395,2.66,19,1556,10.47,4,0.03,0,Community transmission
Madagascar,Africa,35262,127.34,3645,13.16,487,593,2.14,55,0.2,5,Community transmission
Malawi,Africa,34011,177.79,77,0.4,22,1147,6,9,0.05,2,Community transmission
Sudan,Eastern Mediterranean,33673,76.79,651,1.48,0,2300,5.25,92,0.21,0,Clusters of cases
Malta,Europe,30149,5859.14,222,43.14,20,412,80.07,3,0.58,0,Clusters of cases
Australia,Western Pacific,29658,116.31,153,0.6,19,910,3.57,0,0,0,Clusters of cases
Democratic Republic of the Congo,Africa,29498,32.94,604,0.67,93,756,0.84,11,0.01,4,Community transmission
Mongolia,Western Pacific,29219,891.29,8564,261.23,1263,74,2.26,33,1.01,5,Clusters of cases
Maldives,South-East Asia,27621,5109.85,1476,273.06,218,71,13.13,2,0.37,0,Clusters of cases
Angola,Africa,25492,77.56,1192,3.63,213,577,1.76,16,0.05,3,Community transmission
Rwanda,Africa,24535,189.43,669,5.17,76,328,2.53,6,0.05,0,Community transmission
Gabon,Africa,22433,1007.89,575,25.83,0,138,6.2,5,0.22,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,21999,125.7,995,5.69,135,1526,8.72,89,0.51,16,Community transmission
Guinea,Africa,21803,166.02,343,2.61,0,139,1.06,1,0.01,0,Community transmission
Cabo Verde,Africa,21784,3918.08,1809,325.37,0,201,36.15,12,2.16,0,Community transmission
Mayotte,Africa,19849,7275.63,60,21.99,0,169,61.95,1,0.37,0,Community transmission
Réunion,Africa,19343,2160.48,918,102.53,0,141,15.75,6,0.67,0,Community transmission
French Guiana,Americas,18826,6303.02,745,249.43,133,98,32.81,3,1,1,Community transmission
French Polynesia,Western Pacific,18734,6669.09,38,13.53,0,141,50.19,0,0,0,Sporadic cases
Eswatini,Africa,18440,1589.43,25,2.15,6,671,57.84,0,0,0,Community transmission
Mauritania,Africa,18192,391.25,71,1.53,0,454,9.76,2,0.04,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Mali,Africa,13560,66.96,580,2.86,56,462,2.28,33,0.16,2,Community transmission
Somalia,Eastern Mediterranean,13459,84.68,622,3.91,0,689,4.34,33,0.21,0,Community transmission
Burkina Faso,Africa,13231,63.3,117,0.56,0,156,0.75,2,0.01,0,Community transmission
Andorra,Europe,13024,16856.27,253,327.44,17,124,160.49,1,1.29,0,Community transmission
Haiti,Americas,12958,113.64,40,0.35,14,251,2.2,0,0,0,Community transmission
Guadeloupe,Americas,12927,3230.75,0,0,0,194,48.48,0,0,0,Community transmission
Togo,Africa,12787,154.46,291,3.52,45,121,1.46,2,0.02,0,Community transmission
Belize,Americas,12599,3168.54,61,15.34,3,321,80.73,3,0.75,1,Community transmission
Guyana,Americas,12448,1582.6,806,102.47,214,277,35.22,10,1.27,0,Clusters of cases
Curaçao,Americas,12022,7326.33,348,212.07,0,99,60.33,19,11.58,0,Community transmission
Djibouti,Eastern Mediterranean,10746,1087.65,334,33.81,8,132,13.36,18,1.82,0,Community transmission
Lesotho,Africa,10728,500.78,19,0.89,5,316,14.75,1,0.05,0,Community transmission
Congo,Africa,10678,193.51,594,10.76,0,144,2.61,7,0.13,0,Community transmission
Papua New Guinea,Western Pacific,10670,119.26,932,10.42,68,102,1.14,13,0.15,0,Community transmission
South Sudan,Africa,10515,93.94,83,0.74,0,114,1.02,0,0,0,Community transmission
Aruba,Americas,10469,9805.56,250,234.16,0,95,88.98,3,2.81,0,Community transmission
Bahamas,Americas,9976,2536.85,280,71.2,0,196,49.84,2,0.51,0,Clusters of cases
Suriname,Americas,9932,1693.05,436,74.32,67,193,32.9,6,1.02,2,Clusters of cases
Martinique,Americas,9758,2600.3,0,0,0,66,17.59,0,0,0,Community transmission
Trinidad and Tobago,Americas,9487,677.89,745,53.23,104,157,11.22,7,0.5,0,Community transmission
Cambodia,Western Pacific,9359,55.98,2970,17.76,0,71,0.42,28,0.17,0,Sporadic cases
Benin,Africa,7720,63.68,109,0.9,0,97,0.8,1,0.01,0,Community transmission
Guam,Western Pacific,7697,4560.51,43,25.48,4,136,80.58,0,0,0,Clusters of cases
Equatorial Guinea,Africa,7559,538.78,300,21.38,0,107,7.63,1,0.07,0,Community transmission
Iceland,Europe,6390,1754.85,104,28.56,0,29,7.96,0,0,0,Community transmission
Central African Republic,Africa,6224,128.87,437,9.05,0,85,1.76,10,0.21,0,Community transmission
Yemen,Eastern Mediterranean,6109,20.48,335,1.12,49,1176,3.94,56,0.19,10,Community transmission
Gambia,Africa,5820,240.83,87,3.6,0,173,7.16,3,0.12,0,Community transmission
Nicaragua,Americas,5450,82.27,43,0.65,0,181,2.73,1,0.02,0,Community transmission
Seychelles,Africa,5170,5256.9,336,341.65,0,26,26.44,1,1.02,0,Community transmission
Niger,Africa,5158,21.31,44,0.18,17,191,0.79,1,0,0,Community transmission
San Marino,Europe,5047,14871.24,37,109.02,0,89,262.24,3,8.84,0,Community transmission
Chad,Africa,4752,28.93,61,0.37,5,169,1.03,1,0.01,0,Community transmission
Saint Lucia,Americas,4463,2430.47,65,35.4,8,70,38.12,5,2.72,0,Community transmission
Gibraltar,Europe,4283,12712.59,0,0,0,94,279.01,0,0,0,Clusters of cases
Sierra Leone,Africa,4044,50.7,24,0.3,0,79,0.99,0,0,0,Community transmission
Burundi,Africa,3853,32.4,241,2.03,48,6,0.05,0,0,0,Community transmission
Comoros,Africa,3829,440.32,14,1.61,3,146,16.79,0,0,0,Community transmission
Barbados,Americas,3820,1329.27,47,16.35,14,44,15.31,0,0,0,Community transmission
Guinea-Bissau,Africa,3724,189.23,14,0.71,2,67,3.4,1,0.05,1,Community transmission
Eritrea,Africa,3605,101.65,114,3.21,0,10,0.28,0,0,0,Community transmission
Jersey,Europe,3233,2999.18,1,0.93,0,69,64.01,0,0,0,Community transmission
United States Virgin Islands,Americas,3080,2949.49,52,49.8,12,27,25.86,1,0.96,0,Community transmission
Liechtenstein,Europe,2947,7605.75,40,103.23,0,56,144.53,0,0,0,Sporadic cases
Viet Nam,Western Pacific,2833,2.91,52,0.05,1,35,0.04,0,0,0,Clusters of cases
Monaco,Europe,2429,6189.48,34,86.64,3,31,78.99,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,2376,6136.68,7,18.08,1,17,43.91,0,0,0,Clusters of cases
Bermuda,Americas,2315,3717.5,255,409.49,31,23,36.93,6,9.63,0,Community transmission
Sao Tome and Principe,Africa,2298,1048.55,23,10.49,6,35,15.97,0,0,0,Community transmission
New Zealand,Western Pacific,2245,46.56,7,0.15,0,26,0.54,0,0,0,Clusters of cases
Sint Maarten,Americas,2212,5158.34,10,23.32,0,27,62.96,0,0,0,Community transmission
Liberia,Africa,2086,41.24,15,0.3,0,85,1.68,0,0,0,Community transmission
Saint Vincent and the Grenadines,Americas,1830,1649.54,11,9.92,3,10,9.01,0,0,0,Community transmission
Timor-Leste,South-East Asia,1808,137.13,572,43.38,151,3,0.23,1,0.08,0,Clusters of cases
Saint Martin,Americas,1710,4423.29,0,0,0,13,33.63,0,0,0,Community transmission
Isle of Man,Europe,1585,1864,10,11.76,1,29,34.1,0,0,0,No cases
Bonaire,Americas,1527,7300.98,16,76.5,0,15,71.72,1,4.78,0,Community transmission
Antigua and Barbuda,Americas,1222,1247.84,9,9.19,0,31,31.66,0,0,0,Clusters of cases
Mauritius,Africa,1206,94.83,3,0.24,0,16,1.26,1,0.08,0,Clusters of cases
Bhutan,South-East Asia,1018,131.93,66,8.55,10,1,0.13,0,0,0,Sporadic cases
Saint Barthélemy,Americas,954,9650.99,0,0,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,822,1275.05,0,0,0,14,21.72,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,663,1356.8,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Cayman Islands,Americas,534,812.54,9,13.69,3,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,449,3992.53,2,17.78,0,5,44.46,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,247,3.39,189,2.6,88,0,0,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,223,50.97,2,0.46,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,194,641.6,7,23.15,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,173,240.31,1,1.39,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,164,284.93,2,3.47,0,2,3.47,0,0,0,Pending
Grenada,Americas,159,141.3,0,0,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,124,43.43,1,0.35,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,87,9.71,15,1.67,1,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,63,1808.79,1,28.71,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,58,386.62,29,193.31,25,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,0,0,0,0,0,0,0,0,No cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,25,431.41,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
